id;nome;tag;hora_entrada;hora_saida
1;gggg;3C:74:49:43:42;2019-02-25 12:54:44;2019-02-25 12:54:57
2;g;31:39:C:1F:1B;2019-02-25 13:00:35;2019-02-25 13:00:54
3;gggg;3C:74:49:43:42;2019-02-25 13:00:41;2019-02-25 13:00:48
4;g;31:39:C:1F:1B;2019-02-25 13:08:02;2019-02-25 13:11:55
5;g;31:39:C:1F:1B;2019-02-25 13:12:41;2019-02-25 13:13:14
6;g;31:39:C:1F:1B;2019-02-25 13:19:55;2019-02-25 13:26:10
7;gggg;3C:74:49:43:42;2019-02-25 13:20:01;2019-02-25 13:20:08
8;gggg;3C:74:49:43:42;2019-02-25 13:26:06;2019-02-25 13:27:45
9;g;31:39:C:1F:1B;2019-02-25 13:27:40;2019-02-25 13:27:52
10;gggg;3C:74:49:43:42;2019-02-25 16:37:07;2019-02-25 17:09:40
11;g;31:39:C:1F:1B;2019-02-25 16:37:13;2019-02-25 17:29:02
12;gggg;3C:74:49:43:42;2019-02-25 17:14:47;2019-02-25 17:28:52
13;gggg;3C:74:49:43:42;2019-02-25 17:32:44;2019-02-25 19:38:01
14;g;31:39:C:1F:1B;2019-02-25 17:32:51;2019-02-25 19:37:55
15;gggg;3C:74:49:43:42;2019-02-25 20:08:49;2019-02-25 21:05:33
16;g;31:39:C:1F:1B;2019-02-25 21:05:38;
